Name,Branch,Place,Exams Accepted,Fees
"JSS Academy of Technical Education, Noida",B.Tech Civil Engineering,"Noida, Uttar Pradesh",UPSEE,"Fees:  ₹ 4,85,720"
"Sreenidhi Institute of Science and Technology, Ghatkesar",B.Tech Civil Engineering,"Yamnampet, Telangana",TS,"Fees:  ₹ 3,76,000"
"Hindusthan College of Engineering and Technology, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 1,60,000"
"BS Anangpuria Institute of Technology and Management, Faridabad",B.Tech Civil Engineering,"Alampur, Haryana",JEE,"Fees:  ₹ 4,20,000"
"Sandip University, Nashik",B.Tech Civil Engineering,"Nashik, Maharashtra",NA,NA
"The NorthCap University, Gurgaon",B.Tech Civil Engineering,"Gurgaon, Haryana",JEE,"Fees:  ₹ 9,84,000"
"G Pulla Reddy Engineering College, Kurnool",B.Tech Civil Engineering,"Kurnool, Andhra Pradesh",AP,"Fees:  ₹ 3,20,000"
"Madhav Institute of Technology and Science, Gwalior",BE Civil Engineering,"Gwalior, Madhya Pradesh",JEE,"Fees:  ₹ 2,48,000"
"Pondicherry Engineering College, Puducherry",B.Tech Civil Engineering,"Pillaichavady, Puducherry",NA,"Fees:  ₹ 1,06,000"
"Institute of Infrastructure Technology Research and Management, Ahmedabad",B.Tech Civil Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 5,97,230"
National Institute of Technology Uttarakhand,B.Tech Civil Engineering,"Srinagar, Uttarakhand",JEE,"Fees:  ₹ 5,76,600"
National Institute of Technology Andhra Pradesh,B.Tech Civil Engineering,"Tadepalligudem, Andhra Pradesh",JEE,"Fees:  ₹ 5,62,300"
"DKTE Society's Textile and Engineering Institute, Ichalkaranji",B.Tech Civil Engineering,"Kolhapur, Maharashtra",NA,"Exams:  JEE Main ,  MAHA CET "
"Dr DY Patil Institute of Technology, Pune",BE Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 3,52,000"
"GITAM Institute of Technology, Visakhapatnam",B.Tech Civil Engineering,"Visakhapatnam, Andhra Pradesh",GITAM,"Fees:  ₹ 10,88,800"
"LJ Institute of Engineering and Technology, Ahmedabad",BE Civil Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 2,92,000"
"Shri Mata Vaishno Devi University, Katra",B.Tech Civil Engineering,"Katra, Jammu and Kashmir",JEE,"Fees:  ₹ 5,61,750"
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri",B.Tech Civil Engineering,"Vishnupuri, Maharashtra",NA,"Fees:  ₹ 3,01,004"
"Government College of Engineering and Research, Pune",B.Tech Civil Engineering,"Awasari Khurd, Maharashtra",NA,"Fees:  ₹ 99,452"
National Institute of Technology Kurukshetra,B.Tech Civil Engineering,"Kurukshetra, Haryana",JEE,"Fees:  ₹ 5,66,900"
